----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Fri Jun 14 11:39:57 2024
----------------------------------------------------------------------
{'name': 'power-profiles-daemon', 'username': 'root', 'pid': 744, 'vms': 234.4609375} 
{'name': 'rsyslogd', 'username': 'syslog', 'pid': 746, 'vms': 217.21484375} 
{'name': 'snapd', 'username': 'root', 'pid': 753, 'vms': 2011.37890625} 
{'name': 'switcheroo-control', 'username': 'root', 'pid': 755, 'vms': 230.94140625} 
{'name': 'systemd-logind', 'username': 'root', 'pid': 757, 'vms': 47.1640625} 
{'name': 'thermald', 'username': 'root', 'pid': 759, 'vms': 269.75} 
{'name': 'udisksd', 'username': 'root', 'pid': 760, 'vms': 384.3125} 
{'name': 'wpa_supplicant', 'username': 'root', 'pid': 761, 'vms': 17.41796875} 
{'name': 'avahi-daemon', 'username': 'avahi', 'pid': 774, 'vms': 7.26953125} 
{'name': 'ModemManager', 'username': 'root', 'pid': 824, 'vms': 310.609375} 
{'name': 'cupsd', 'username': 'root', 'pid': 830, 'vms': 71.30078125} 
{'name': 'unattended-upgr', 'username': 'root', 'pid': 859, 'vms': 115.37890625} 
{'name': 'upowerd', 'username': 'root', 'pid': 901, 'vms': 237.02734375} 
{'name': 'cups-browsed', 'username': 'root', 'pid': 1141, 'vms': 168.58203125} 
{'name': 'mongod', 'username': 'mongodb', 'pid': 1143, 'vms': 2586.5} 
{'name': 'kerneloops', 'username': 'kernoops', 'pid': 1145, 'vms': 12.78125} 
{'name': 'kerneloops', 'username': 'kernoops', 'pid': 1147, 'vms': 12.78125} 
{'name': 'gdm3', 'username': 'root', 'pid': 1197, 'vms': 235.56640625} 
{'name': 'rtkit-daemon', 'username': 'rtkit', 'pid': 1231, 'vms': 150.39453125} 
{'name': 'packagekitd', 'username': 'root', 'pid': 1415, 'vms': 364.33203125} 
{'name': 'colord', 'username': 'colord', 'pid': 1575, 'vms': 239.69140625} 
{'name': 'gdm-session-worker', 'username': 'root', 'pid': 1677, 'vms': 310.72265625} 
{'name': 'systemd', 'username': 'arjun', 'pid': 1689, 'vms': 17.73046875} 
{'name': '(sd-pam)', 'username': 'arjun', 'pid': 1690, 'vms': 166.24609375} 
{'name': 'pipewire', 'username': 'arjun', 'pid': 1696, 'vms': 38.9375} 
{'name': 'pipewire-media-session', 'username': 'arjun', 'pid': 1697, 'vms': 23.0625} 
{'name': 'pulseaudio', 'username': 'arjun', 'pid': 1698, 'vms': 2487.2578125} 
{'name': 'dbus-daemon', 'username': 'arjun', 'pid': 1714, 'vms': 10.15234375} 
{'name': 'gnome-keyring-daemon', 'username': 'arjun', 'pid': 1716, 'vms': 235.2421875} 
{'name': 'gvfsd', 'username': 'arjun', 'pid': 1720, 'vms': 235.0} 
{'name': 'gvfsd-fuse', 'username': 'arjun', 'pid': 1735, 'vms': 371.96484375} 
{'name': 'xdg-document-portal', 'username': 'arjun', 'pid': 1737, 'vms': 668.33203125} 
{'name': 'xdg-permission-store', 'username': 'arjun', 'pid': 1746, 'vms': 230.61328125} 
{'name': 'fusermount3', 'username': 'arjun', 'pid': 1753, 'vms': 2.73046875} 
{'name': 'tracker-miner-fs-3', 'username': 'arjun', 'pid': 1765, 'vms': 720.4296875} 
{'name': 'gdm-wayland-session', 'username': 'arjun', 'pid': 1767, 'vms': 158.58203125} 
{'name': 'gnome-session-binary', 'username': 'arjun', 'pid': 1771, 'vms': 217.81640625} 
{'name': 'gnome-session-ctl', 'username': 'arjun', 'pid': 1817, 'vms': 89.75390625} 
{'name': 'gnome-session-binary', 'username': 'arjun', 'pid': 1829, 'vms': 507.03515625} 
{'name': 'at-spi-bus-launcher', 'username': 'arjun', 'pid': 1843, 'vms': 302.375} 
{'name': 'dbus-daemon', 'username': 'arjun', 'pid': 1849, 'vms': 8.36328125} 
{'name': 'gnome-shell', 'username': 'arjun', 'pid': 1853, 'vms': 5761.6796875} 
{'name': 'gvfs-udisks2-volume-monitor', 'username': 'arjun', 'pid': 1869, 'vms': 380.74609375} 
{'name': 'gvfs-gphoto2-volume-monitor', 'username': 'arjun', 'pid': 1875, 'vms': 231.9765625} 
{'name': 'gvfs-goa-volume-monitor', 'username': 'arjun', 'pid': 1879, 'vms': 231.0859375} 
{'name': 'goa-daemon', 'username': 'arjun', 'pid': 1883, 'vms': 564.7734375} 
{'name': 'goa-identity-service', 'username': 'arjun', 'pid': 1894, 'vms': 330.46875} 
{'name': 'gvfs-mtp-volume-monitor', 'username': 'arjun', 'pid': 1896, 'vms': 231.51953125} 
{'name': 'gvfs-afc-volume-monitor', 'username': 'arjun', 'pid': 1904, 'vms': 307.81640625} 
{'name': 'krfcommd', 'username': 'root', 'pid': 1932, 'vms': 0.0} 
{'name': 'snapd-desktop-integration', 'username': 'arjun', 'pid': 1962, 'vms': 38.0390625} 
